heroName,abilityName,abilityCatalogName,created,status,detectorFamily,sourceDecision,originalDecision,wikiMatchedName,wikiTarget,wikiType,wikiProps,wikiSourceUrl,reason
Abathur,Stab,AbathurSymbioteStab,no,candidate_not_created,directional_position_overlap,rule_candidate_existing_detector,needs_triage,Symbiote - Stab,Point target,Spell Damage,Skillshot,https://heroesofthestorm.fandom.com/wiki/Data:Abathur,Wiki marks this as a point-target skillshot or projectile-style ability.
Alarak,AlarakDeadlyChargeExecute2ndHeroic,AlarakDeadlyChargeExecute2ndHeroic,yes,created,directional_position_overlap,implemented,implemented,,,,,,A versioned skillshot landing rule already exists.
Alarak,Counter-Strike,AlarakCounterStrikeTargeted,yes,created,directional_position_overlap,implemented,implemented,,,,,,A versioned skillshot landing rule already exists.
Alarak,Counter-Strike,AlarakCounterStrikeTargeted2ndHeroic,yes,created,directional_position_overlap,implemented,implemented,,,,,,A versioned skillshot landing rule already exists.
Alarak,Discord Strike,AlarakDiscordStrike,yes,created,directional_position_overlap,implemented,implemented,,,,,,A versioned skillshot landing rule already exists.
Alarak,Unleash Deadly Charge,AlarakDeadlyChargeExecute,yes,created,directional_position_overlap,implemented,implemented,,,,,,A versioned skillshot landing rule already exists.
Alexstrasza,Wing Buffet,AlexstraszaWingBuffet,no,candidate_not_created,area_position_overlap,rule_candidate_existing_detector,needs_triage,Wing Buffet,Point target,"Spell Damage, Crowd control","Area of Effect, Clamping, Knockback",https://heroesofthestorm.fandom.com/wiki/Data:Alexstrasza,Wiki marks this as a point-target area ability.
Ana,Biotic Grenade,AnaBioticGrenade,yes,created,area_position_overlap,implemented,implemented,,,,,,A versioned skillshot landing rule already exists.
Ana,High Powered Round,AnaEyeOfHorusAttack,yes,created,directional_position_overlap,implemented,implemented,,,,,,A versioned skillshot landing rule already exists.
Ana,Sleep Dart,AnaSleepDart,yes,created,directional_position_overlap,implemented,implemented,,,,,,A versioned skillshot landing rule already exists.
Ana,Debilitating Dart,AnaDebilitatingDart,no,candidate_not_created,directional_position_overlap,rule_candidate_existing_detector,needs_research,Debilitating Dart,Point target,"Crowd control, Offensive damage modifier","Skillshot, Slow",https://heroesofthestorm.fandom.com/wiki/Data:Ana,Wiki marks this as a point-target skillshot or projectile-style ability.
Ana,High Powered Round,AnaEyeOfHorusAttackDummy,no,candidate_not_created,area_position_overlap,rule_candidate_existing_detector,needs_triage,Eye of Horus - High Powered Round,Point target,Spell Damage / Healing,Area of Effect,https://heroesofthestorm.fandom.com/wiki/Data:Ana,Wiki marks this as a point-target area ability.
Anduin,Chastise,AnduinChastise,yes,created,directional_position_overlap,implemented,implemented,,,,,,A versioned skillshot landing rule already exists.
Anduin,Divine Star,AnduinDivineStar,yes,created,directional_position_overlap,implemented,implemented,,,,,,A versioned skillshot landing rule already exists.
Anub'arak,Impale,AnubarakImpale,yes,created,directional_position_overlap,implemented,implemented,,,,,,A versioned skillshot landing rule already exists.
Anub'arak,Burrow Charge,AnubarakBurrowCharge,no,candidate_not_created,directional_position_overlap,rule_candidate_existing_detector,needs_research,Burrow Charge,Point target,"Spell Damage, Crowd control / Movement: Launch, Status effect","Area of Effect, Clamping, Slow, Stun, Unstoppable",https://heroesofthestorm.fandom.com/wiki/Data:Anub'arak,Wiki marks this as a point-target skillshot or projectile-style ability.
Anub'arak,Burrow Charge Cancel,AnubarakBurrowChargeCancel,no,candidate_not_created,directional_position_overlap,rule_candidate_existing_detector,no_rule_likely,Burrow Charge,Point target,"Spell Damage, Crowd control / Movement: Launch, Status effect","Area of Effect, Clamping, Slow, Stun, Unstoppable",https://heroesofthestorm.fandom.com/wiki/Data:Anub'arak,Wiki marks this as a point-target skillshot or projectile-style ability.
Artanis,Phase Prism,ArtanisPhasePrism,yes,created,directional_position_overlap,implemented,implemented,,,,,,A versioned skillshot landing rule already exists.
Artanis,Suppression Pulse,ArtanisSpearofAdunSuppressionPulse,yes,created,area_position_overlap,implemented,implemented,,,,,,A versioned skillshot landing rule already exists.
Arthas,Howling Blast,ArthasHowlingBlast,no,candidate_not_created,directional_position_overlap,rule_candidate_existing_detector,needs_research,Howling Blast,Point Target,"Spell Damage, Crowd control","Area of Effect, Root, Clamping, Self-castable",https://heroesofthestorm.fandom.com/wiki/Data:Arthas,Wiki marks this as a point-target skillshot or projectile-style ability.
Auriel,Detainment Strike,AurielDetainmentStrike,no,candidate_not_created,directional_position_overlap,rule_candidate_existing_detector,needs_research,Detainment Strike,Point target,Spell Damage,"Area of Effect, Clamping, Knockback, Skillshot, Stun",https://heroesofthestorm.fandom.com/wiki/Data:Auriel,Wiki marks this as a point-target skillshot or projectile-style ability.
Azmodan,Globe of Annihilation,AzmodanGlobeOfAnnihilation,yes,created,area_position_overlap,implemented,implemented,,,,,,A versioned skillshot landing rule already exists.
Azmodan,Trample,AzmodanTrample,no,candidate_not_created,directional_position_overlap,rule_candidate_existing_detector,needs_triage,Trample,Point target,"Spell Damage, Crowd control / Movement: Dash","Clamping, Skillshot, Slow",https://heroesofthestorm.fandom.com/wiki/Data:Azmodan,Wiki marks this as a point-target skillshot or projectile-style ability.
Blaze,Flame Stream,FirebatFlameStream,yes,created,directional_position_overlap,implemented,implemented,,,,,,A versioned skillshot landing rule already exists.
Blaze,Jet Propulsion,FirebatJetPropulsion,yes,created,directional_position_overlap,implemented,implemented,,,,,,A versioned skillshot landing rule already exists.
Blaze,Flamethrower,FirebatBunkerDropFlamethrower,no,candidate_not_created,directional_position_overlap,rule_candidate_existing_detector,needs_triage,Bunker - Flamethrower,Point target,Spell Damage,"Clamping, Area of Effect, Skillshot",https://heroesofthestorm.fandom.com/wiki/Data:Blaze,Wiki marks this as a point-target skillshot or projectile-style ability.
Brightwing,Arcane Flare,FaerieDragonArcaneFlare,no,candidate_not_created,directional_position_overlap,rule_candidate_existing_detector,needs_research,Arcane Flare,Point target,Spell Damage,Area of Effect,https://heroesofthestorm.fandom.com/wiki/Data:Brightwing,Wiki marks this as a point-target skillshot or projectile-style ability.
Cassia,Blinding Light,AmazonBlindingLight,yes,created,area_position_overlap,implemented,implemented,,,,,,A versioned skillshot landing rule already exists.
Cassia,Lightning Fury,AmazonLightningFury,yes,created,directional_position_overlap,implemented,implemented,,,,,,A versioned skillshot landing rule already exists.
